,model_step,node_id,lmp,available_capacity,queue_size_normalized_by_capacity,num_projects,congestion_indicator,mw_threshold_1,mw_threshold_2,installed_capacity,new_eris_count,new_nris_count,new_dropped_out,dropped_out_eris_count,dropped_out_nris_count,dropped_out_eris_mw,dropped_out_nris_mw,dropped_out_mw,total_pending_count,pending_eris_count,pending_nris_count,pending_mw,pending_eris_mw,pending_nris_mw,total_online_count,online_eris_count,online_nris_count,online_mw,online_eris_mw,online_nris_mw,avg_cost_eris_dropped_out,avg_cost_nris_dropped_out,avg_cost_eris_pending,avg_cost_nris_pending,avg_cost_eris_online,avg_cost_nris_online,avg_construction_time,avg_study_time
26,2,7,[32.69],205.10000000000002,2.1971189362226053,0,21.115488795863087,205.10000000000002,615.3000000000001,1624.4,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
27,2,8,[31.28],1310.9,0.4445670540363461,61,16.8281664884996,1310.9,3932.7000000000003,2899.9,12,49,50,12,38,2888.6,6634.4,9523.0,11,0,11,265.8,0.0,265.8,0,0,0,0.0,0.0,0.0,591.3423191125405,739.177898890676,0.0,143.83214796460734,0,0,0.8838321479646073,1.8032786885245902
28,2,9,[37.02],10530.300000000001,1.5199655083211174,0,0.8415969647322583,10530.300000000001,31590.9,28992.5,0,0,0,0,0,0.0,0.0,0.0,2,2,0,50.0,50.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
29,2,10,[31.36],507.6,1.7495717576640613,0,12.640532398747762,507.6,1522.8000000000002,5078.9,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
30,2,11,[30.97],1550.2,0.13139122831239358,0,9.848589442680288,1550.2,4650.6,2172.9,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
31,2,12,[30.64],930.0,2.9440044411547,0,10.399703923019986,930.0,2790.0,2702.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
32,2,13,[27.57],824.6,4.213717305786613,0,13.78336986877271,824.6,2473.8,3330.1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
33,2,14,[28.71],1819.8000000000002,0.30980166557089633,0,7.725180802103879,1819.8000000000002,5459.400000000001,3650.4,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
34,2,15,[29.93],998.8000000000001,0.16682016075016742,0,1.08841259209645,998.8000000000001,2996.4,2388.8,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
35,2,16,[27.17],7506.3,0.010584307178631052,0,5.242070116861435,7506.3,22518.9,11980.0,0,0,0,0,0,0.0,0.0,0.0,13,1,12,710.2,15.0,695.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
36,2,17,[32.1],2797.6000000000004,0.7537132141411128,0,4.0701515119227745,2797.6000000000004,8392.800000000001,9385.4,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
37,2,18,[38.18],1058.0,0.8056215057057516,52,14.21970335196957,1058.0,3174.0,3917.1,14,38,42,10,32,2021.0,4937.4,6958.4,10,4,6,177.15,43.0,134.15,0,0,0,0.0,0.0,0.0,474.3571268240913,592.9464085301141,176.29478752906755,220.36848441133444,0,0,3.6627390056584277,1.7307692307692308
38,2,19,[26.82],7479.200000000001,0.1549415706690297,0,5.5383252104563585,7479.200000000001,22437.600000000002,14444.8,0,0,0,0,0,0.0,0.0,0.0,2,0,2,90.0,0.0,90.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
39,2,20,[27.83],4286.1,0.2838817991287459,58,7.911513941162915,4286.1,12858.300000000001,9113.3,7,51,40,5,35,1227.0,5722.62,6949.62,18,2,16,795.6,42.0,753.6,0,0,0,0.0,0.0,0.0,211.35657721528196,264.1957215191025,119.49207548457576,149.3650943557197,0,0,3.3160458700367035,1.8793103448275863
40,3,1,[27.54],157.5,3.4060227631994944,0,12.883338602592476,157.5,472.5,1265.2,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
41,3,2,[31.18],15328.900000000001,1.790614353404069,35,7.755525067448172,15328.900000000001,45986.700000000004,36954.3,5,30,22,4,18,718.6,3614.1,4332.7,69,14,55,3629.05,560.9,3068.15,0,0,0,0.0,0.0,0.0,152.5702450244191,190.71280628052392,152.5702450244191,190.7128062805239,0,0,2.7377787631069768,1.8571428571428572
42,3,3,[32.33],4447.250000000001,1.3598160305626645,0,12.069785955639626,2223.6250000000005,3335.437500000001,11318.65,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,19,5,14,534.25,120.9,413.35,0.0,0.0,0.0,0.0,0,0,,
43,3,4,[31.47],6453.900000000001,0.8073584702975615,66,14.113438607798905,5453.900000000001,16361.7,9309.0,9,57,56,9,47,1217.0,7343.58,8560.58,39,3,36,1242.1,46.0,1196.1,0,0,0,0.0,0.0,0.0,383.3117061311306,479.13963266391295,0.0,210.27107603822083,0,0,3.140271076038221,1.8636363636363635
44,3,5,[40.11],1742.0,0.3070257238383333,0,15.284190415538928,1742.0,5226.0,4396.7,0,0,0,0,0,0.0,0.0,0.0,4,0,4,223.0,0.0,223.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
45,3,6,[25.55],11619.839999999998,0.9935132236728103,56,10.59652129938238,5809.919999999999,8714.88,32781.96000000001,7,49,41,6,35,774.7,6815.16,7589.86,15,1,14,473.0,11.0,462.0,30,4,26,2196.66,226.0,1970.66,353.0268156039569,441.2835195049461,113.90086294513995,142.37607868142499,0,0,0.17047773096567256,1.875
46,3,7,[32.69],1205.1,2.1971189362226053,0,19.115488795863087,205.10000000000002,615.3000000000001,1624.4,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
47,3,8,[31.28],2310.9,0.4445670540363461,0,14.828166488499601,1310.9,3932.7000000000003,2899.9,0,0,0,0,0,0.0,0.0,0.0,11,0,11,265.8,0.0,265.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
48,3,9,[37.02],10530.300000000001,1.5199655083211174,0,0.8415969647322583,10530.300000000001,31590.9,28992.5,0,0,0,0,0,0.0,0.0,0.0,2,2,0,50.0,50.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
49,3,10,[31.36],507.6,1.7495717576640613,0,12.640532398747762,507.6,1522.8000000000002,5078.9,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
50,3,11,[30.97],1550.2,0.13139122831239358,66,9.848589442680288,1550.2,4650.6,2172.9,14,52,55,14,41,2233.37,5503.5,7736.87,11,0,11,246.0,0.0,246.0,0,0,0,0.0,0.0,0.0,591.7001603124436,739.6252003905545,0.0,172.56183061725034,0,0,2.9425618306172505,1.7878787878787878
51,3,12,[30.64],930.0,2.9440044411547,0,10.399703923019986,930.0,2790.0,2702.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
